GEM unit/phase ID,GEM location ID,Plant name,owner,capacity_mw,capacity_factor,annual_generation_MWh,emission_actual,emission_threshold,is_mine_mouth,Status,Combustion technology
G100000115057,L100000104826,Bengkayang Power Station,PLN,50.0,0.55,240900.00000000003,252224.37765855,312447.30000000005,False,operating,unknown
G100000115058,L100000104826,Bengkayang Power Station,PLN,50.0,0.55,240900.00000000003,252224.37765855,312447.30000000005,False,operating,unknown
G100000100757,L100000102707,Bengkulu power station,PT Tenaga Listrik Bengkulu [100%],100.0,0.55,481800.00000000006,510135.16197204,487099.8,False,operating,subcritical
G100000112736,L100000102707,Bengkulu power station,PT Tenaga Listrik Bengkulu [100%],100.0,0.55,481800.00000000006,510135.16197204,487099.8,False,operating,subcritical
G100000101097,L100000102797,Bukit Asam Muara Enim power station,PLN,65.0,0.55,313170.0,400668.6584655399,406181.49,False,operating,subcritical
G100000101098,L100000102797,Bukit Asam Muara Enim power station,PLN,65.0,0.55,313170.0,400668.6584655399,406181.49,False,operating,subcritical
G100000101099,L100000102797,Bukit Asam Muara Enim power station,PLN,65.0,0.55,313170.0,400668.6584655399,406181.49,False,operating,subcritical
G100000101100,L100000102797,Bukit Asam Muara Enim power station,PLN,65.0,0.55,313170.0,400668.6584655399,406181.49,False,operating,subcritical
G100000101254,L100000102691,Celukan Bawang power station,PT Merryline International; PT General Energy Indonesia,142.0,0.55,684156.0000000001,784757.9241669882,691681.716,False,operating,subcritical
G100000101255,L100000102691,Celukan Bawang power station,PT Merryline International; PT General Energy Indonesia,142.0,0.55,684156.0000000001,784757.9241669882,691681.716,False,operating,subcritical
G100000101256,L100000102691,Celukan Bawang power station,PT Merryline International; PT General Energy Indonesia,142.0,0.55,684156.0000000001,784757.9241669882,691681.716,False,operating,subcritical
G100000114188,L100000104575,Cemindo Gemilang power station,PT Cemindo Gemilang Tbk [100%],60.0,0.55,289080.0,302669.25319026,374936.76,False,operating,unknown
G100000101261,L100000102709,Central Java Power Project,PT Bhimasena Power Indonesia [100%],950.0,0.55,4577100.0,3839008.4241564,4169738.1,False,operating,ultra-supercritical
G100000101262,L100000102709,Central Java Power Project,PT Bhimasena Power Indonesia [100%],950.0,0.55,4577100.0,3839008.4241564,4169738.1,False,operating,ultra-supercritical
G100000101579,L100000102813,Cikarang Babelan power station,PT Cikarang Listrindo Tbk [100%],140.0,0.55,674520.0,714189.226760856,681939.72,False,operating,subcritical
G100000101580,L100000102813,Cikarang Babelan power station,PT Cikarang Listrindo Tbk [100%],140.0,0.55,674520.0,714189.226760856,681939.72,False,operating,subcritical
G100000101586,L100000102711,Cilacap Sumber power station,PT Sumber Segara Primadaya [100%],300.0,0.55,1445400.0,1530405.48591612,1461299.4,False,operating,subcritical
G100000101587,L100000102711,Cilacap Sumber power station,PT Sumber Segara Primadaya [100%],300.0,0.55,1445400.0,1530405.48591612,1461299.4,False,operating,subcritical
G100000101588,L100000102711,Cilacap Sumber power station,PT Sumber Segara Primadaya [100%],660.0,0.55,3179880.0000000005,2711272.83080049,2896870.6800000006,False,operating,supercritical
G100000101589,L100000102711,Cilacap Sumber power station,PT Sumber Segara Primadaya [100%],1000.0,0.55,4818000.0,4041061.4991120007,4389198.0,False,operating,ultra-supercritical
G100000113842,L100000104397,Cilegon PTIP Power Station,PT Indorama Petrochemicals [100%],40.0,0.55,192720.0,204054.064788816,249957.84,False,operating,subcritical
G100000101590,L100000102814,Cirebon power station,PT Cirebon Electric Power [100%],660.0,0.55,3179880.0000000005,2982400.11388054,2896870.6800000006,False,operating,supercritical
G100000101591,L100000102814,Cirebon power station,PT Cirebon Electric Power [100%],924.0,0.55,4451832.0,3733940.825179488,4055618.952,False,operating,ultra-supercritical
G100000114341,L100000104617,Delong Nickel Phase I power station,PT Virtue Dragon Nickel Industry [100%],30.0,0.55,144540.0,151334.62659513,187468.38,False,operating,unknown
G100000114342,L100000104617,Delong Nickel Phase I power station,PT Virtue Dragon Nickel Industry [100%],30.0,0.55,144540.0,151334.62659513,187468.38,False,operating,unknown
G100000114343,L100000104617,Delong Nickel Phase I power station,PT Virtue Dragon Nickel Industry [100%],50.0,0.55,240900.00000000003,252224.37765855,312447.30000000005,False,operating,unknown
G100000114344,L100000104617,Delong Nickel Phase I power station,PT Virtue Dragon Nickel Industry [100%],50.0,0.55,240900.00000000003,252224.37765855,312447.30000000005,False,operating,unknown
G100000114345,L100000104617,Delong Nickel Phase I power station,PT Virtue Dragon Nickel Industry [100%],60.0,0.55,289080.0,302669.25319026,374936.76,False,operating,unknown
G100000114346,L100000104617,Delong Nickel Phase I power station,PT Virtue Dragon Nickel Industry [100%],60.0,0.55,289080.0,302669.25319026,374936.76,False,operating,unknown
G100000114347,L100000104617,Delong Nickel Phase I power station,PT Virtue Dragon Nickel Industry [100%],125.0,0.55,602250.0,630560.944146375,608874.7499999999,False,operating,unknown
G100000114348,L100000104617,Delong Nickel Phase I power station,PT Virtue Dragon Nickel Industry [100%],125.0,0.55,602250.0,630560.944146375,608874.7499999999,False,operating,unknown
G100000114331,L100000105022,Delong Nickel Phase II power station,PT Obsidian Stainless Steel [100%],135.0,0.55,650430.0,681005.8196780849,657584.73,False,operating,unknown
G100000114333,L100000105022,Delong Nickel Phase II power station,PT Obsidian Stainless Steel [100%],135.0,0.55,650430.0,681005.8196780849,657584.73,False,operating,unknown
G100000114334,L100000105022,Delong Nickel Phase II power station,PT Obsidian Stainless Steel [100%],135.0,0.55,650430.0,681005.8196780849,657584.73,False,operating,unknown
G100000114335,L100000105022,Delong Nickel Phase II power station,PT Obsidian Stainless Steel [100%],135.0,0.55,650430.0,681005.8196780849,657584.73,False,operating,unknown
G100000114336,L100000105022,Delong Nickel Phase II power station,PT Obsidian Stainless Steel [100%],135.0,0.55,650430.0,681005.8196780849,657584.73,False,operating,unknown
