cluster,Capacity (MW),Plant age (years),Heat rate (Btu per kWh),emis_intensity_t_per_MWh
0,856.1509560015055,1.0399999999999998,8551.86,0.8573222160368492
1,75.39214940589152,19.28409090909091,11568.009090909092,1.187988446447163
2,110.01310839252213,3.4304635761589424,10396.486092715231,1.0550494167900435
3,365.6783771405511,2.4874999999999994,9433.64125,0.9569935186077354
