,Capacity (MW),Capacity (MW),Capacity (MW),Capacity (MW),Plant age (years),Plant age (years),Plant age (years),Plant age (years),Heat rate (Btu per kWh),Heat rate (Btu per kWh),Heat rate (Btu per kWh),Heat rate (Btu per kWh),emis_intensity_t_per_MWh,emis_intensity_t_per_MWh,emis_intensity_t_per_MWh,emis_intensity_t_per_MWh
,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max
cluster,,,,,,,,,,,,,,,,
0,532.4651162790698,380.0,315.0,1000.0,3.697674418604651,3.0,0,13,9046.404651162791,9249.9,8272.0,9465.5,0.9172635765159766,0.9378970633736304,0.8387425278356163,0.9597579058544522
1,90.22307692307693,95.0,30.0,220.0,12.23076923076923,12.0,10,19,11298.05,11312.6,11186.5,11312.6,1.1516047153232878,1.1470452998541096,1.1291413669739727,1.2055314805958903
2,102.3157894736842,100.0,30.0,250.0,5.087719298245614,5.0,1,9,10370.8,10326.0,10090.8,10442.4,1.0529718542328768,1.0470086245684933,1.0231604327712327,1.1127982897808222
3,115.28571428571429,65.0,30.0,400.0,29.62857142857143,28.0,21,41,12200.694285714286,12182.8,11747.7,12617.9,1.2406931010528672,1.2352795536890415,1.1911624267715752,1.2982646714109596
4,450.625,350.0,300.0,660.0,17.125,14.0,12,29,10279.2375,10442.4,9572.2,10442.4,1.0403734382166525,1.0588110460191782,0.9554273105164386,1.0588110460191786
