GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Owner GEM Entity ID,Parent,Parent GEM Entity ID,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Conversion to (fuel),Conversion to (GEM unit ID),Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,China Capacity Payment Recipient,CHP,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes),province_norm,zone,est_generation_MWh,emis_intensity_t_per_MWh
G100000105483,L100000102783,Indonesia,https://www.gem.wiki/Asam-Asam_power_station,Asam-Asam power station,Unit 2,Kalselteng-2,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],65.0,operating,2013.0,,,unknown,lignite,,,,bioenergy,Asam-Asam,Jorong,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,-3.9265336,115.105805,exact,,,,,,,,,12,0.55,11186.5,101000,0.3733279485131625,23,8.586542815802737,Kalimantan Selatan,Kalimantan,313170.0,1.1920935865924658
G100000100515,L100000102783,Indonesia,https://www.gem.wiki/Asam-Asam_power_station,Asam-Asam power station,Unit 5,Kalselteng-2,,PT PLN (Persero),E100000000537,PT PLN (Persero),E100000000537,100.0,operating,2024.0,,,CFB,lignite,,,,,,Jorong,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,-3.9265336,115.105805,exact,,,,,,,,,1,0.55,10442.4,101000,0.5361462160164001,34,18.2289713445576,Kalimantan Selatan,Kalimantan,481800.00000000006,1.1127982897808222
G100000100516,L100000102783,Indonesia,https://www.gem.wiki/Asam-Asam_power_station,Asam-Asam power station,Unit 6,Kalselteng-2,,PT PLN (Persero),E100000000537,PT PLN (Persero),E100000000537,100.0,construction,2023.0,,,CFB,lignite,,,,,,Jorong,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,-3.9265336,115.105805,exact,,,,,,,,,0,0.55,10442.4,101000,0.5361462160164001,35,18.76511756057401,Kalimantan Selatan,Kalimantan,481800.00000000006,1.1127982897808222
G100000100517,L100000102783,Indonesia,https://www.gem.wiki/Asam-Asam_power_station,Asam-Asam power station,Unit B-3,Kalselteng-2,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],65.0,operating,2000.0,,,subcritical,lignite,,,,bioenergy,Asam-Asam,Jorong,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,-3.9265336,115.105805,exact,,,,,,,,,25,0.55,12182.8,101000,0.4065775471457702,10,4.065775471457702,Kalimantan Selatan,Kalimantan,313170.0,1.2982646714109596
G100000100518,L100000102783,Indonesia,https://www.gem.wiki/Asam-Asam_power_station,Asam-Asam power station,Unit B-4,Kalselteng-2,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],65.0,operating,2000.0,,,subcritical,lignite,,,,bioenergy,Asam-Asam,Jorong,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,-3.9265336,115.105805,exact,,,,,,,,,25,0.55,12182.8,101000,0.4065775471457702,10,4.065775471457702,Kalimantan Selatan,Kalimantan,313170.0,1.2982646714109596
G100000100391,L100000102750,Indonesia,https://www.gem.wiki/Astratel_power_station,Astratel power station,Phase I,,,Astratel Nusantara [100%],E100000120093 [100%],PT Astra International Tbk [100.0%],E100001010578 [100.0%],100.0,cancelled,,,,subcritical,unknown,,,,,,,,Kalimantan,South-eastern Asia,Asia,-2.75,103.833333,approximate,,,,,,,,,0,0.55,10442.4,96100,0.51013516197204,35,17.8547306690214,Kalimantan,,481800.00000000006,1.058811046019178
G100000100455,L100000102734,Indonesia,https://www.gem.wiki/Bakrie_Sangatta_power_station,Bakrie Sangatta power station,Unit 1,Sangatta Mines,,PT Bakrie Indo Infrastructure [100%],E100000120993 [100%],PT Bakrie & Brothers Tbk [100.0%],E100001015677 [100.0%],100.0,cancelled,,,,subcritical,unknown,Kaltim Prima Coal Sangatta coal mine,,,,Sangatta Mining Area,,East Kutai (Kutai Timur),East Kalimantan,South-eastern Asia,Asia,0.605,117.481,approximate,,,,,,,,,0,0.55,10442.4,96100,0.51013516197204,35,17.8547306690214,Kalimantan Timur,Kalimantan,481800.00000000006,1.058811046019178
G100000100456,L100000102734,Indonesia,https://www.gem.wiki/Bakrie_Sangatta_power_station,Bakrie Sangatta power station,Unit 2,Sangatta Mines,,PT Bakrie Indo Infrastructure [100%],E100000120993 [100%],PT Bakrie & Brothers Tbk [100.0%],E100001015677 [100.0%],100.0,cancelled,,,,subcritical,unknown,Kaltim Prima Coal Sangatta coal mine,,,,Sangatta Mining Area,,East Kutai (Kutai Timur),East Kalimantan,South-eastern Asia,Asia,0.605,117.481,approximate,,,,,,,,,0,0.55,10442.4,96100,0.51013516197204,35,17.8547306690214,Kalimantan Timur,Kalimantan,481800.00000000006,1.058811046019178
G100000113818,L100000104395,Indonesia,https://www.gem.wiki/Bali_Power_Station,Bali Power Station,--,,,to be determined [100%],E100000121374 [100%],to be determined [100.0%],E100000121374 [100.0%],135.0,cancelled,,,,unknown,unknown,,,,,,,,Bali,South-eastern Asia,Asia,-8.447602,115.122206,approximate,,,,,,,,,0,0.55,10326.0,96100,0.6810058196780849,35,23.83520368873297,Bali,Jawa-Madura-Bali,650430.0,1.047008624568493
G100000100505,L100000102812,Indonesia,https://www.gem.wiki/Bandung_Indosyntec_power_station,Bandung Indosyntec power station,Unit 1,,,PT Panasia Indo Resources Tbk [100%],E100000121053 [100%],Lucky Height Resources Ltd [27.8%]; Gold Gazelle Profits Corp [19.6%]; PT Panasia Synthetic Abadi [19.4%]; Ortega Management Ltd [10.0%]; Mercury Capital International Inc [9.7%]; Prime Invesco Ltd [9.5%],E100001011652 [27.8%]; E100001011651 [19.6%]; E100001011654 [19.4%]; E100001011653 [10.0%]; E100001011655 [9.7%]; E100001011656 [9.5%],30.0,operating,2004.0,,,subcritical,unknown,,,,,Kab Bandung,,,West Java,South-eastern Asia,Asia,-6.970501,107.605782,exact,,,,textiles,,,,,21,0.55,12182.8,96100,0.1785473066902141,14,2.499662293662997,Jawa Barat,Jawa-Madura-Bali,144540.0,1.2352795536890417
