GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Owner GEM Entity ID,Parent,Parent GEM Entity ID,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Conversion to (fuel),Conversion to (GEM unit ID),Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,China Capacity Payment Recipient,CHP,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes),province_norm,zone,est_generation_MWh,emis_intensity_t_per_MWh
G100000115350,L100000104841,Indonesia,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station,Delong Nickel Phase III power station,Unit 09,德龙镍业印尼自备电厂三期,,PT Gunbuster Nickel Industry [100%],E100000121018 [100%],Jiangsu Delong Nickel Industry Co Ltd,E100000126498,300.0,construction,,,,unknown,unknown,,,,,Bungintimbe,Petasia,Morowali Regency,Central Sulawesi,South-eastern Asia,Asia,-2.0142686,121.4296885,exact,,,,nickel,power,,,,0,0.55,9465.5,96100,1.387234077122025,35,48.55319269927088,Sulawesi Tengah,Sulawesi,1445400.0,0.959757905854452
G100000115351,L100000104841,Indonesia,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station,Delong Nickel Phase III power station,Unit 10,德龙镍业印尼自备电厂三期,,PT Gunbuster Nickel Industry [100%],E100000121018 [100%],Jiangsu Delong Nickel Industry Co Ltd,E100000126498,300.0,construction,,,,unknown,unknown,,,,,Bungintimbe,Petasia,Morowali Regency,Central Sulawesi,South-eastern Asia,Asia,-2.0142686,121.4296885,exact,,,,nickel,power,,,,0,0.55,9465.5,96100,1.387234077122025,35,48.55319269927088,Sulawesi Tengah,Sulawesi,1445400.0,0.959757905854452
G100000115352,L100000104841,Indonesia,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station,Delong Nickel Phase III power station,Unit 11,德龙镍业印尼自备电厂三期,,PT Gunbuster Nickel Industry [100%],E100000121018 [100%],Jiangsu Delong Nickel Industry Co Ltd,E100000126498,300.0,construction,,,,unknown,unknown,,,,,Bungintimbe,Petasia,Morowali Regency,Central Sulawesi,South-eastern Asia,Asia,-2.0142686,121.4296885,exact,,,,nickel,power,,,,0,0.55,9465.5,96100,1.387234077122025,35,48.55319269927088,Sulawesi Tengah,Sulawesi,1445400.0,0.959757905854452
G100000115353,L100000104841,Indonesia,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station,Delong Nickel Phase III power station,Unit 12,德龙镍业印尼自备电厂三期,,PT Gunbuster Nickel Industry [100%],E100000121018 [100%],Jiangsu Delong Nickel Industry Co Ltd,E100000126498,300.0,construction,,,,unknown,unknown,,,,,Bungintimbe,Petasia,Morowali Regency,Central Sulawesi,South-eastern Asia,Asia,-2.0142686,121.4296885,exact,,,,nickel,power,,,,0,0.55,9465.5,96100,1.387234077122025,35,48.55319269927088,Sulawesi Tengah,Sulawesi,1445400.0,0.959757905854452
G100001031228,L100001026019,Indonesia,https://www.gem.wiki/Delong_Nickel_Phase_IV_power_station,Delong Nickel Phase IV power station,Unit 2,印尼德龙四期,,PT Nadesico Nickel Industry,E100002005507,CNGR Advanced Material Co Ltd; Jiangsu Delong Nickel Industry Co Ltd,E100002005670; E100000126498,330.0,construction,,,,unknown,unknown,,,,,,,Morowali Regency,Central Sulawesi,South-eastern Asia,Asia,-2.01401787,121.4309327,exact,,,,nickel,,,,,0,0.55,9465.5,96100,1.525957484834227,35,53.40851196919796,Sulawesi Tengah,Sulawesi,1589940.0000000002,0.9597579058544516
G100001031233,L100001026019,Indonesia,https://www.gem.wiki/Delong_Nickel_Phase_IV_power_station,Delong Nickel Phase IV power station,Unit 3,印尼德龙四期,,PT Nadesico Nickel Industry,E100002005507,CNGR Advanced Material Co Ltd; Jiangsu Delong Nickel Industry Co Ltd,E100002005670; E100000126498,330.0,operating,2024.0,,,unknown,unknown,,,,,,,Morowali Regency,Central Sulawesi,South-eastern Asia,Asia,-2.01401787,121.4309327,exact,,,,nickel,,,,,1,0.55,9465.5,96100,1.525957484834227,34,51.88255448436373,Sulawesi Tengah,Sulawesi,1589940.0000000002,0.9597579058544516
G100000113973,L100000104536,Indonesia,https://www.gem.wiki/East_Halmahera_power_station,East Halmahera power station,Unit 1,,,PT Tambang Batubara Bukit Asam [100%],E100000121075 [100%],PT Tambang Batubara Bukit Asam [100.0%],E100000121075 [100.0%],45.0,cancelled,2023.0,,,unknown,unknown,,,,,Tanjung Buli,East Halmahera,,North Maluku,South-eastern Asia,Asia,0.832508,128.285273,approximate,,,,nickel,,,,,0,0.55,10326.0,96100,0.227001939892695,35,7.945067896244327,North Maluku,,216810.00000000003,1.047008624568493
G100000113974,L100000104536,Indonesia,https://www.gem.wiki/East_Halmahera_power_station,East Halmahera power station,Unit 2,,,PT Tambang Batubara Bukit Asam [100%],E100000121075 [100%],PT Tambang Batubara Bukit Asam [100.0%],E100000121075 [100.0%],45.0,cancelled,2023.0,,,unknown,unknown,,,,,Tanjung Buli,East Halmahera,,North Maluku,South-eastern Asia,Asia,0.832508,128.285273,approximate,,,,nickel,,,,,0,0.55,10326.0,96100,0.227001939892695,35,7.945067896244327,North Maluku,,216810.00000000003,1.047008624568493
G100000114210,L100000104536,Indonesia,https://www.gem.wiki/East_Halmahera_power_station,East Halmahera power station,Unit 3,,,PT Tambang Batubara Bukit Asam [100%],E100000121075 [100%],PT Tambang Batubara Bukit Asam [100.0%],E100000121075 [100.0%],60.0,cancelled,,,,unknown,unknown,,,,,Tanjung Buli,East Halmahera,,North Maluku,South-eastern Asia,Asia,0.832508,128.285273,approximate,,,,nickel,,,,,0,0.55,10326.0,96100,0.30266925319026,35,10.5934238616591,North Maluku,,289080.0,1.047008624568493
G100000102626,L100000102735,Indonesia,https://www.gem.wiki/Embalut_power_station,Embalut power station,Unit 3,,,PT Cahaya Fajar Kaltim [100%],E100000121004 [100%],Jawa Pos Group,E100000120669,60.0,operating,2014.0,,,subcritical,unknown,,,,,Embalut,Tenggarong Seberang,Kutai Kartanegara,East Kalimantan,South-eastern Asia,Asia,-0.373097,117.062462,exact,,,,,,,,,11,0.55,11312.6,96100,0.331587855281826,24,7.958108526763824,Kalimantan Timur,Kalimantan,289080.0,1.1470452998541096
G100000115737,L100000104975,Indonesia,https://www.gem.wiki/FAJAR_power_station,FAJAR power station,Unit 1,,,PT Fajar Surya Wisesa Tbk [100%],E100000121011 [100%],PT Fajar Surya Wisesa Tbk [100.0%],E100000121011 [100.0%],55.0,operating,2017.0,,,unknown,unknown,,,,,,,Bekasi,West Java,South-eastern Asia,Asia,-6.272646,107.124019,exact,,,,pulp & paper,,,,,8,0.55,10326.0,96100,0.277446815424405,27,7.491064016458935,Jawa Barat,Jawa-Madura-Bali,264990.00000000006,1.047008624568493
G100001054770,L100001047944,Indonesia,https://www.gem.wiki/Gallant_Venture_power_station,Gallant Venture power station,Phase I Unit 1,,,Gallant Venture Ltd,E100001011137,Gallant Venture Ltd,E100001011137,350.0,announced,,,,supercritical,unknown,,,,,,Setokok,Batam,Riau Islands,South-eastern Asia,Asia,0.9439,104.06275,approximate,,,,industrial park,,,,,0,0.55,9249.900000000001,96100,1.581575817966953,35,55.35515362884335,Kepulauan Riau,Sumatra,1686300.0000000002,0.9378970633736302
G100001054771,L100001047944,Indonesia,https://www.gem.wiki/Gallant_Venture_power_station,Gallant Venture power station,Phase I Unit 2,,,Gallant Venture Ltd,E100001011137,Gallant Venture Ltd,E100001011137,350.0,announced,,,,supercritical,unknown,,,,,,Setokok,Batam,Riau Islands,South-eastern Asia,Asia,0.9439,104.06275,approximate,,,,industrial park,,,,,0,0.55,9249.900000000001,96100,1.581575817966953,35,55.35515362884335,Kepulauan Riau,Sumatra,1686300.0000000002,0.9378970633736302
G100001054774,L100001047944,Indonesia,https://www.gem.wiki/Gallant_Venture_power_station,Gallant Venture power station,Phase I Unit 3,,,Gallant Venture Ltd,E100001011137,Gallant Venture Ltd,E100001011137,350.0,announced,,,,supercritical,unknown,,,,,,Setokok,Batam,Riau Islands,South-eastern Asia,Asia,0.9439,104.06275,approximate,,,,industrial park,,,,,0,0.55,9249.900000000001,96100,1.581575817966953,35,55.35515362884335,Kepulauan Riau,Sumatra,1686300.0000000002,0.9378970633736302
G100001054772,L100001047944,Indonesia,https://www.gem.wiki/Gallant_Venture_power_station,Gallant Venture power station,Phase II Unit 1,,,Gallant Venture Ltd,E100001011137,Gallant Venture Ltd,E100001011137,600.0,announced,,,,supercritical,unknown,,,,,,Setokok,Batam,Riau Islands,South-eastern Asia,Asia,0.9439,104.06275,approximate,,,,industrial park,,,,,0,0.55,8409.0,96100,2.4647934825459,35,86.26777188910651,Kepulauan Riau,Sumatra,2890800.0,0.8526336939760273
G100001054773,L100001047944,Indonesia,https://www.gem.wiki/Gallant_Venture_power_station,Gallant Venture power station,Phase II Unit 2,,,Gallant Venture Ltd,E100001011137,Gallant Venture Ltd,E100001011137,600.0,announced,,,,supercritical,unknown,,,,,,Setokok,Batam,Riau Islands,South-eastern Asia,Asia,0.9439,104.06275,approximate,,,,industrial park,,,,,0,0.55,8409.0,96100,2.4647934825459,35,86.26777188910651,Kepulauan Riau,Sumatra,2890800.0,0.8526336939760273
G100000103134,L100000102723,Indonesia,https://www.gem.wiki/Gresik_AKR_power_station,Gresik AKR power station,Unit 1,,,PT Energi Manyar Sejahtera [100%],E100000121010 [100%],AKR Corp,E100000120015,330.0,cancelled,,,,unknown,unknown,,,,,Gresik,,Gresik,East Java,South-eastern Asia,Asia,-7.159,112.642,approximate,,,,,,,,,0,0.55,9465.5,96100,1.525957484834227,35,53.40851196919796,Jawa Timur,Jawa-Madura-Bali,1589940.0000000002,0.9597579058544516
G100000103135,L100000102723,Indonesia,https://www.gem.wiki/Gresik_AKR_power_station,Gresik AKR power station,Unit 2,,,PT Energi Manyar Sejahtera [100%],E100000121010 [100%],AKR Corp,E100000120015,330.0,cancelled,,,,unknown,unknown,,,,,Gresik,,Gresik,East Java,South-eastern Asia,Asia,-7.159,112.642,approximate,,,,,,,,,0,0.55,9465.5,96100,1.525957484834227,35,53.40851196919796,Jawa Timur,Jawa-Madura-Bali,1589940.0000000002,0.9597579058544516
G100000115072,L100000104833,Indonesia,https://www.gem.wiki/Haltim_power_station,Haltim power station,Unit 1,,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],200.0,cancelled,2024.0,,,unknown,unknown,,,,,,,,North Maluku,South-eastern Asia,Asia,1.018017,128.26606,approximate,,,,,,,,,0,0.55,10326.0,96100,1.0088975106342,35,35.311412872197,North Maluku,,963600.0000000001,1.0470086245684929
G100001054115,L100001047529,Indonesia,https://www.gem.wiki/Hongshi_Silikon_power_station,Hongshi Silikon power station,--,,,Hongshi Holding Group Co Ltd,E100002006816,Hongshi Holding Group Co Ltd,E100002006816,2000.0,announced,,,,unknown,unknown,,,,,,,,West Java,South-eastern Asia,Asia,-6.87203,107.59869,approximate,,,,industrial park,power,,,,0,0.55,8605.0,96100,8.407479255285,35,294.261773934975,Jawa Barat,Jawa-Madura-Bali,9636000.0,0.872507187140411
G100000114189,L100000104576,Indonesia,https://www.gem.wiki/I_Skip_power_station,I Skip power station,--,,,PT Cahaya Sakti [100%],E100000121005 [100%],Olympic Group,E100000120957,30.0,cancelled,,,,unknown,unknown,,,,,Tarakan,,,North Kalimantan,South-eastern Asia,Asia,3.350271,117.601826,approximate,,,,,,,,,0,0.55,10326.0,96100,0.15133462659513,35,5.29671193082955,Kalimantan Utara,Kalimantan,144540.0,1.047008624568493
G100000115073,L100000104834,Indonesia,https://www.gem.wiki/DSS_Serang_power_station,Indah Kiat Serang power station,Unit 1,DSS Serang power station [former],,PT Indah Kiat Pulp & Paper Tbk,E100000121022,PT Indah Kiat Pulp & Paper Tbk,E100000121022,35.0,operating,1998.0,,,unknown,unknown,,,,,,Serang,,Banten,South-eastern Asia,Asia,-6.125435,106.289205,exact,,,,pulp & paper,power,,,,27,0.55,12047.0,96100,0.2059832417544826,8,1.647865934035861,Banten,Jawa-Madura-Bali,168630.0,1.221510061996576
G100000115074,L100000104834,Indonesia,https://www.gem.wiki/DSS_Serang_power_station,Indah Kiat Serang power station,Unit 2,DSS Serang power station [former],,PT Indah Kiat Pulp & Paper Tbk,E100000121022,PT Indah Kiat Pulp & Paper Tbk,E100000121022,35.0,operating,1998.0,,,unknown,unknown,,,,,,Serang,,Banten,South-eastern Asia,Asia,-6.125435,106.289205,exact,,,,pulp & paper,power,,,,27,0.55,12047.0,96100,0.2059832417544826,8,1.647865934035861,Banten,Jawa-Madura-Bali,168630.0,1.221510061996576
G100000115075,L100000104834,Indonesia,https://www.gem.wiki/DSS_Serang_power_station,Indah Kiat Serang power station,Unit 3,DSS Serang power station [former],,PT Indah Kiat Pulp & Paper Tbk,E100000121022,PT Indah Kiat Pulp & Paper Tbk,E100000121022,35.0,operating,1998.0,,,unknown,unknown,,,,,,Serang,,Banten,South-eastern Asia,Asia,-6.125435,106.289205,exact,,,,pulp & paper,power,,,,27,0.55,12047.0,96100,0.2059832417544826,8,1.647865934035861,Banten,Jawa-Madura-Bali,168630.0,1.221510061996576
G100000115076,L100000104834,Indonesia,https://www.gem.wiki/DSS_Serang_power_station,Indah Kiat Serang power station,Unit 4,DSS Serang power station [former],,PT Indah Kiat Pulp & Paper Tbk,E100000121022,PT Indah Kiat Pulp & Paper Tbk,E100000121022,70.0,operating,1998.0,,,unknown,unknown,,,,,,Serang,,Banten,South-eastern Asia,Asia,-6.125435,106.289205,exact,,,,pulp & paper,power,,,,27,0.55,12047.0,96100,0.4119664835089651,8,3.295731868071721,Banten,Jawa-Madura-Bali,337260.0,1.2215100619965755
G100000104834,L100000102833,Indonesia,https://www.gem.wiki/Indarung_Cement_power_station,Indarung Cement power station,--,,,PT Semen Padang [100%],E100000121260 [100%],PT Semen Indonesia (Persero) Tbk [100.0%],E100000121067 [100.0%],100.0,cancelled,,,,subcritical,unknown,,,,,Indarung,Lubuk Kilangan,Padang,West Sumatra,South-eastern Asia,Asia,-0.950059,100.469542,approximate,,,,cement & building,,,,,0,0.55,10442.4,96100,0.51013516197204,35,17.8547306690214,Sumatera Barat,Sumatra,481800.00000000006,1.058811046019178
G100000114215,L100000104584,Indonesia,https://www.gem.wiki/Indo_Bharat_Rayon_power_station,Indo Bharat Rayon power station,--,,,PT Indo Bharat Rayon [100%],E100000121024 [100%],Aditya Birla Management Corporation Pvt Ltd,E100000120031,36.6,operating,2008.0,,,unknown,unknown,,,,,Cilangkap,Babacankicao,Purwakarta,West Java,South-eastern Asia,Asia,-6.485801,107.385203,exact,,,,textiles,power,,,,17,0.55,11186.5,96100,0.2000139314832302,18,3.600250766698143,Jawa Barat,Jawa-Madura-Bali,176338.80000000002,1.1342593432825345
G100000104852,L100000102815,Indonesia,https://www.gem.wiki/Indramayu_power_station,Indramayu power station,Unit 1,英德拉玛玉电站,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],330.0,operating,2010.0,,,subcritical,subbituminous,,,,bioenergy,Sumur Adem,Sukra,Indramayu,West Java,South-eastern Asia,Asia,-6.274738,107.97043,exact,,,,,,,,,15,0.55,10442.4,96100,1.683446034507732,20,33.66892069015465,Jawa Barat,Jawa-Madura-Bali,1589940.0000000002,1.058811046019178
G100000104853,L100000102815,Indonesia,https://www.gem.wiki/Indramayu_power_station,Indramayu power station,Unit 2,英德拉玛玉电站,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],330.0,operating,2011.0,,,subcritical,subbituminous,,,,bioenergy,Sumur Adem,Sukra,Indramayu,West Java,South-eastern Asia,Asia,-6.274738,107.97043,exact,,,,,,,,,14,0.55,10442.4,96100,1.683446034507732,21,35.35236672466238,Jawa Barat,Jawa-Madura-Bali,1589940.0000000002,1.058811046019178
G100000104854,L100000102815,Indonesia,https://www.gem.wiki/Indramayu_power_station,Indramayu power station,Unit 3,英德拉玛玉电站,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],330.0,operating,2011.0,,,subcritical,subbituminous,,,,bioenergy,Sumur Adem,Sukra,Indramayu,West Java,South-eastern Asia,Asia,-6.274738,107.97043,exact,,,,,,,,,14,0.55,10442.4,96100,1.683446034507732,21,35.35236672466238,Jawa Barat,Jawa-Madura-Bali,1589940.0000000002,1.058811046019178
G100000104855,L100000102815,Indonesia,https://www.gem.wiki/Indramayu_power_station,Indramayu power station,Unit 4,英德拉玛玉电站,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],1000.0,cancelled,2030.0,,,supercritical,unknown,,,,,Sumur Adem,Sukra,Indramayu,West Java,South-eastern Asia,Asia,-6.274738,107.97043,exact,,,,,,,,,0,0.55,8409.0,96100,4.1079891375765,35,143.7796198151775,Jawa Barat,Jawa-Madura-Bali,4818000.0,0.8526336939760275
G100000104856,L100000102815,Indonesia,https://www.gem.wiki/Indramayu_power_station,Indramayu power station,Unit 5,英德拉玛玉电站,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],1000.0,cancelled,,,,supercritical,unknown,,,,,Sumur Adem,Sukra,Indramayu,West Java,South-eastern Asia,Asia,-6.274738,107.97043,exact,,,,,,,,,0,0.55,8409.0,96100,4.1079891375765,35,143.7796198151775,Jawa Barat,Jawa-Madura-Bali,4818000.0,0.8526336939760275
G100000104935,L100000102712,Indonesia,https://www.gem.wiki/Jababeka_KIP_power_station,Jababeka KIP power station,--,,,PT Kawasan Industri Kendal [100%],E100000121034 [100%],PT Kawasan Industri Jababeka Tbk [51.0%]; Sembcorp Industries Ltd [49.0%],E100000120663 [51.0%]; E100000000909 [49.0%],660.0,cancelled,,,,unknown,unknown,,,,,Kendal,,Kendal,Central Java,South-eastern Asia,Asia,-6.895752,110.24025,approximate,,,,,,,,,0,0.55,8605.0,96100,2.77446815424405,35,97.10638539854176,Jawa Tengah,Jawa-Madura-Bali,3179880.0000000005,0.8725071871404108
G100000104936,L100000102816,Indonesia,https://www.gem.wiki/Jabar_Utara_power_station,Jabar Utara power station,Unit 1,,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],300.0,cancelled,,,,subcritical,unknown,,,,,,,,West Java,South-eastern Asia,Asia,-5.935064,107.030182,approximate,,,,,,,,,0,0.55,9572.2,96100,1.40287169542311,35,49.10050933980885,Jawa Barat,Jawa-Madura-Bali,1445400.0,0.9705767921842465
G100000104937,L100000102816,Indonesia,https://www.gem.wiki/Jabar_Utara_power_station,Jabar Utara power station,Unit 2,,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],300.0,cancelled,,,,subcritical,unknown,,,,,,,,West Java,South-eastern Asia,Asia,-5.935064,107.030182,approximate,,,,,,,,,0,0.55,9572.2,96100,1.40287169542311,35,49.10050933980885,Jawa Barat,Jawa-Madura-Bali,1445400.0,0.9705767921842465
G100000104953,L100000102743,Indonesia,https://www.gem.wiki/Jambi_Tebo_power_station,Jambi Tebo power station,Unit 1,,,Korea South-East Power Co Ltd [100%],E100000002110 [100%],Korea Electric Power Corp [100.0%],E100000000947 [100.0%],200.0,cancelled,,,,unknown,unknown,,,,,,,Tebo,Jambi,South-eastern Asia,Asia,-1.39,102.42,approximate,,,,,,,,,0,0.55,10326.0,96100,1.0088975106342,35,35.311412872197,Jambi,Sumatra,963600.0000000001,1.0470086245684929
G100000104954,L100000102743,Indonesia,https://www.gem.wiki/Jambi_Tebo_power_station,Jambi Tebo power station,Unit 2,,,Korea South-East Power Co Ltd [100%],E100000002110 [100%],Korea Electric Power Corp [100.0%],E100000000947 [100.0%],200.0,cancelled,,,,unknown,unknown,,,,,,,Tebo,Jambi,South-eastern Asia,Asia,-1.39,102.42,approximate,,,,,,,,,0,0.55,10326.0,96100,1.0088975106342,35,35.311412872197,Jambi,Sumatra,963600.0000000001,1.0470086245684929
G100000108038,L100000102744,Indonesia,https://www.gem.wiki/Jambi-1_power_station,Jambi-1 power station,Unit 1,,,PT PLN Indonesia Power [100%],E100000003758 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],300.0,permitted,2030.0,,,subcritical,unknown,,,,,Rangkiling Simpang,Mandiangin,Sarolangun,Jambi,South-eastern Asia,Asia,-2.1375,102.957222,exact,,,,,,,,,0,0.55,9572.2,96100,1.40287169542311,35,49.10050933980885,Jambi,Sumatra,1445400.0,0.9705767921842465
G100000113202,L100000102744,Indonesia,https://www.gem.wiki/Jambi-1_power_station,Jambi-1 power station,Unit 2,,,PT PLN Indonesia Power [100%],E100000003758 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],300.0,permitted,2030.0,,,subcritical,unknown,,,,,Rangkiling Simpang,Mandiangin,Sarolangun,Jambi,South-eastern Asia,Asia,-2.1375,102.957222,exact,,,,,,,,,0,0.55,9572.2,96100,1.40287169542311,35,49.10050933980885,Jambi,Sumatra,1445400.0,0.9705767921842465
G100000108039,L100000104843,Indonesia,https://www.gem.wiki/Jambi-2_power_station,Jambi-2 power station,Unit 1,华电占碑2号电厂,,PT Pembangkitan Perkasa Daya [100%],E100000121055 [100%],China Huadian Corp Ltd [80.0%]; Nusantara Energy Ltd [15.0%]; PT Pembangunan Perumahan (Persero) Tbk [5.0%],E100000000170 [80.0%]; E100000120942 [15.0%]; E100000121057 [5.0%],300.0,pre-permit,2032.0,,,subcritical,unknown,,,,,Bungku,Bajubang,Batang Hari,Jambi,South-eastern Asia,Asia,-1.928422,103.189944,approximate,,,,,,,,,0,0.55,9572.2,96100,1.40287169542311,35,49.10050933980885,Jambi,Sumatra,1445400.0,0.9705767921842465
G100000113203,L100000104843,Indonesia,https://www.gem.wiki/Jambi-2_power_station,Jambi-2 power station,Unit 2,华电占碑2号电厂,,PT Pembangkitan Perkasa Daya [100%],E100000121055 [100%],China Huadian Corp Ltd [80.0%]; Nusantara Energy Ltd [15.0%]; PT Pembangunan Perumahan (Persero) Tbk [5.0%],E100000000170 [80.0%]; E100000120942 [15.0%]; E100000121057 [5.0%],300.0,pre-permit,2032.0,,,subcritical,unknown,,,,,Bungku,Bajubang,Batang Hari,Jambi,South-eastern Asia,Asia,-1.928422,103.189944,approximate,,,,,,,,,0,0.55,9572.2,96100,1.40287169542311,35,49.10050933980885,Jambi,Sumatra,1445400.0,0.9705767921842465
G100000104976,L100000102747,Indonesia,https://www.gem.wiki/Jawa-11_power_station,Jawa-11 power station,--,,,to be determined [100%],E100000121374 [100%],to be determined [100.0%],E100000121374 [100.0%],600.0,cancelled,2026.0,,,unknown,unknown,,,,,,,,Java,South-eastern Asia,Asia,-7.26,110.66,approximate,,,,,,,,,0,0.55,8605.0,96100,2.5222437765855,35,88.27853218049252,Java,,2890800.0,0.8725071871404109
G100000104977,L100000102748,Indonesia,https://www.gem.wiki/Jawa-12_power_station,Jawa-12 power station,Unit 1,,,to be determined [100%],E100000121374 [100%],to be determined [100.0%],E100000121374 [100.0%],1000.0,cancelled,2026.0,,,unknown,unknown,,,,,,,,Java,South-eastern Asia,Asia,-7.26,110.66,approximate,,,,,,,,,0,0.55,8605.0,96100,4.2037396276425,35,147.1308869674875,Java,,4818000.0,0.872507187140411
G100000104978,L100000102748,Indonesia,https://www.gem.wiki/Jawa-12_power_station,Jawa-12 power station,Unit 2,,,to be determined [100%],E100000121374 [100%],to be determined [100.0%],E100000121374 [100.0%],1000.0,cancelled,2026.0,,,unknown,unknown,,,,,,,,Java,South-eastern Asia,Asia,-7.26,110.66,approximate,,,,,,,,,0,0.55,8605.0,96100,4.2037396276425,35,147.1308869674875,Java,,4818000.0,0.872507187140411
G100000104979,L100000102749,Indonesia,https://www.gem.wiki/Jawa-13_power_station,Jawa-13 power station,--,,,to be determined [100%],E100000121374 [100%],to be determined [100.0%],E100000121374 [100.0%],2000.0,cancelled,2026.0,,,unknown,unknown,,,,,,,,Java,South-eastern Asia,Asia,-7.26,110.66,approximate,,,,,,,,,0,0.55,8605.0,96100,8.407479255285,35,294.261773934975,Java,,9636000.0,0.872507187140411
G100000104982,L100000102817,Indonesia,https://www.gem.wiki/Jawa-5_power_station,Jawa-5 power station,Unit 1,爪哇5号电站,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],1000.0,cancelled,2023.0,,,supercritical,unknown,,,,,,Muara Gembong,Bekasi,West Java,South-eastern Asia,Asia,-5.935064,107.030182,approximate,,,,,,,,,0,0.55,8409.0,96100,4.1079891375765,35,143.7796198151775,Jawa Barat,Jawa-Madura-Bali,4818000.0,0.8526336939760275
G100000104983,L100000102817,Indonesia,https://www.gem.wiki/Jawa-5_power_station,Jawa-5 power station,Unit 2,爪哇5号电站,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],1000.0,cancelled,,,,supercritical,unknown,,,,,,Muara Gembong,Bekasi,West Java,South-eastern Asia,Asia,-5.935064,107.030182,approximate,,,,,,,,,0,0.55,8409.0,96100,4.1079891375765,35,143.7796198151775,Jawa Barat,Jawa-Madura-Bali,4818000.0,0.8526336939760275
G100000104984,L100000102818,Indonesia,https://www.gem.wiki/Jawa-6_power_station,Jawa-6 power station,Unit 1,爪哇6号电站,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],1000.0,cancelled,2027.0,,,supercritical,unknown,,,,,,Muara Gembong,Bekasi,West Java,South-eastern Asia,Asia,-5.935064,107.030182,approximate,,,,,,,,,0,0.55,8409.0,96100,4.1079891375765,35,143.7796198151775,Jawa Barat,Jawa-Madura-Bali,4818000.0,0.8526336939760275
G100000104985,L100000102818,Indonesia,https://www.gem.wiki/Jawa-6_power_station,Jawa-6 power station,Unit 2,爪哇6号电站,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],1000.0,cancelled,2027.0,,,supercritical,unknown,,,,,,Muara Gembong,Bekasi,West Java,South-eastern Asia,Asia,-5.935064,107.030182,approximate,,,,,,,,,0,0.55,8409.0,96100,4.1079891375765,35,143.7796198151775,Jawa Barat,Jawa-Madura-Bali,4818000.0,0.8526336939760275
G100000104986,L100000102703,Indonesia,https://www.gem.wiki/Jawa-7_power_station,Jawa-7 power station,Unit 1,神华国华爪哇7号电站,,PT Shenhua Guohua Pembangkitan Jawa Bali [100%],E100000121277 [100%],China Shenhua Energy Co Ltd [70.0%]; PT PLN (Persero) [30.0%],E100000000175 [70.0%]; E100000000537 [30.0%],991.0,operating,2019.0,,,ultra-supercritical,unknown,,,,,Desa Terate,Kramatwatu,Serang,Banten,South-eastern Asia,Asia,-5.991694,106.1008,exact,,,,,,,,,6,0.55,8272.0,96100,4.004691945619992,29,116.1360664229798,Banten,Jawa-Madura-Bali,4774638.000000001,0.8387425278356163
