GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Owner GEM Entity ID,Parent,Parent GEM Entity ID,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Conversion to (fuel),Conversion to (GEM unit ID),Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,China Capacity Payment Recipient,CHP,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes),province_norm,zone,est_generation_MWh,emis_intensity_t_per_MWh,cluster
G100000105482,L100000102783,Indonesia,https://www.gem.wiki/Asam-Asam_power_station,Asam-Asam power station,Unit 1,Kalselteng-2,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],65.0,operating,2013.0,,,unknown,lignite,,,,bioenergy,Asam-Asam,Jorong,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,-3.9265336,115.105805,exact,,,,,,,,,12,0.55,11186.5,101000,0.3733279485131625,23,8.586542815802737,Kalimantan Selatan,Kalimantan,313170.0,1.1920935865924658,1
G100000105483,L100000102783,Indonesia,https://www.gem.wiki/Asam-Asam_power_station,Asam-Asam power station,Unit 2,Kalselteng-2,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],65.0,operating,2013.0,,,unknown,lignite,,,,bioenergy,Asam-Asam,Jorong,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,-3.9265336,115.105805,exact,,,,,,,,,12,0.55,11186.5,101000,0.3733279485131625,23,8.586542815802737,Kalimantan Selatan,Kalimantan,313170.0,1.1920935865924658,1
G100000100515,L100000102783,Indonesia,https://www.gem.wiki/Asam-Asam_power_station,Asam-Asam power station,Unit 5,Kalselteng-2,,PT PLN (Persero),E100000000537,PT PLN (Persero),E100000000537,100.0,operating,2024.0,,,CFB,lignite,,,,,,Jorong,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,-3.9265336,115.105805,exact,,,,,,,,,1,0.55,10442.4,101000,0.5361462160164001,34,18.2289713445576,Kalimantan Selatan,Kalimantan,481800.00000000006,1.1127982897808222,2
G100000100517,L100000102783,Indonesia,https://www.gem.wiki/Asam-Asam_power_station,Asam-Asam power station,Unit B-3,Kalselteng-2,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],65.0,operating,2000.0,,,subcritical,lignite,,,,bioenergy,Asam-Asam,Jorong,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,-3.9265336,115.105805,exact,,,,,,,,,25,0.55,12182.8,101000,0.4065775471457702,10,4.065775471457702,Kalimantan Selatan,Kalimantan,313170.0,1.2982646714109596,3
G100000100518,L100000102783,Indonesia,https://www.gem.wiki/Asam-Asam_power_station,Asam-Asam power station,Unit B-4,Kalselteng-2,,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],65.0,operating,2000.0,,,subcritical,lignite,,,,bioenergy,Asam-Asam,Jorong,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,-3.9265336,115.105805,exact,,,,,,,,,25,0.55,12182.8,101000,0.4065775471457702,10,4.065775471457702,Kalimantan Selatan,Kalimantan,313170.0,1.2982646714109596,3
G100000100505,L100000102812,Indonesia,https://www.gem.wiki/Bandung_Indosyntec_power_station,Bandung Indosyntec power station,Unit 1,,,PT Panasia Indo Resources Tbk [100%],E100000121053 [100%],Lucky Height Resources Ltd [27.8%]; Gold Gazelle Profits Corp [19.6%]; PT Panasia Synthetic Abadi [19.4%]; Ortega Management Ltd [10.0%]; Mercury Capital International Inc [9.7%]; Prime Invesco Ltd [9.5%],E100001011652 [27.8%]; E100001011651 [19.6%]; E100001011654 [19.4%]; E100001011653 [10.0%]; E100001011655 [9.7%]; E100001011656 [9.5%],30.0,operating,2004.0,,,subcritical,unknown,,,,,Kab Bandung,,,West Java,South-eastern Asia,Asia,-6.970501,107.605782,exact,,,,textiles,,,,,21,0.55,12182.8,96100,0.1785473066902141,14,2.499662293662997,Jawa Barat,Jawa-Madura-Bali,144540.0,1.2352795536890415,3
G100000100508,L100000102693,Indonesia,https://www.gem.wiki/Bangka_Baru_power_station,Bangka Baru power station,Unit 1,PLTU Ba-Bel,,PT PLN Wilayah Bangka Belitung [100%],E100000121049 [100%],PT PLN (Persero),E100000000537,30.0,operating,2014.0,,,subcritical,unknown,,,,bioenergy,Air Anyir,,,Bangka-Belitung,South-eastern Asia,Asia,-2.079245,106.149617,exact,,,,,,,,,11,0.55,11312.6,96100,0.165793927640913,24,3.979054263381912,Bangka-Belitung,,144540.0,1.1470452998541096,1
G100000100509,L100000102693,Indonesia,https://www.gem.wiki/Bangka_Baru_power_station,Bangka Baru power station,Unit 2,PLTU Ba-Bel,,PT PLN Wilayah Bangka Belitung [100%],E100000121049 [100%],PT PLN (Persero),E100000000537,30.0,operating,2014.0,,,subcritical,unknown,,,,bioenergy,Air Anyir,,,Bangka-Belitung,South-eastern Asia,Asia,-2.079245,106.149617,exact,,,,,,,,,11,0.55,11312.6,96100,0.165793927640913,24,3.979054263381912,Bangka-Belitung,,144540.0,1.1470452998541096,1
G100000100510,L100000102794,Indonesia,https://www.gem.wiki/Bangko_Tengah_power_station,Bangko Tengah power station,Unit 1,"华电玻雅电站, Sumsel-8 (SS-8), PLTU Tanjung Lalang",,PT Huadian Bukit Asam Power [100%],E100000120575 [100%],China Huadian Corp Ltd [55.0%]; PT Bukit Asam Tbk [45.0%],E100000000170 [55.0%]; E100001000746 [45.0%],660.0,operating,2023.0,,,supercritical,unknown,mine-mouth,,,,Tanjung Enim coal mine,,Muara Lenim / Lahat,South Sumatra,South-eastern Asia,Asia,-3.838679,103.804133,exact,,,,,,,,,2,0.55,8409.0,96100,2.71127283080049,33,89.47200341641617,Sumatera Selatan,Sumatra,3179880.0000000005,0.8526336939760273,0
G100000100511,L100000102794,Indonesia,https://www.gem.wiki/Bangko_Tengah_power_station,Bangko Tengah power station,Unit 2,"华电玻雅电站, Sumsel-8 (SS-8), PLTU Tanjung Lalang",,PT Huadian Bukit Asam Power [100%],E100000120575 [100%],China Huadian Corp Ltd [55.0%]; PT Bukit Asam Tbk [45.0%],E100000000170 [55.0%]; E100001000746 [45.0%],660.0,operating,2023.0,,,supercritical,unknown,mine-mouth,,,,Tanjung Enim coal mine,,Muara Lenim / Lahat,South Sumatra,South-eastern Asia,Asia,-3.838679,103.804133,exact,,,,,,,,,2,0.55,8409.0,96100,2.71127283080049,33,89.47200341641617,Sumatera Selatan,Sumatra,3179880.0000000005,0.8526336939760273,0
